Repository URL,Country code,CORE ID,OpenDOAR ID,ROAR ID,Software,Version
http://tru.arcabc.ca,ca,3794,,12221,na,na
http://digitalcommons.brandman.edu,us,3796,,12232,digital commons,
http://repository.unib.ac.id,id,3797,,12272,eprints, 3.3
https://biblio.onat.edu.ua,ua,3798,,12299,dspace, 6.3
http://dc.law.utah.edu,us,3799,,12303,digital commons,
http://babel.banrepcultural.org,co,3800,,12424,opus,
http://digitalcommons.denison.edu,us,3801,,12452,digital commons,
http://digitalshowcase.oru.edu,us,3802,,12462,digital commons,
http://library.onaft.edu.ua,ua,3803,,12496,opus,
http://eprints.poltekkesjogja.ac.id,id,3804,,12517,eprints, 3.3
http://kyutech.repo.nii.ac.jp,,3805,,12503,na,na
http://omnh.repo.nii.ac.jp,jp,3806,,12537,na,na
http://digitalknowledge.cput.ac.za,za,3807,,12551,dspace,
http://elar.tsatu.edu.ua,ua,3810,,12635,dspace, 5.6
http://digilib.iain-palangkaraya.ac.id,id,3811,,12663,eprints, 3.3
http://mushare.marian.edu,us,3812,,12666,digital commons,
http://dspace.baskent.edu.tr,tr,3813,,12671,dspace, 5.4
http://acikerisim.baskent.edu.tr,,3814,,12684,dspace, 5.4
http://digitalcommons.lsu.edu,us,3815,,12693,digital commons,
https://hcommons.org,us,3816,,12699,na,na
http://athenaeum.uiw.edu,us,3817,,12700,digital commons,
http://rpsico.mdp.edu.ar,ar,3818,,12712,dspace, 5.7
http://sired.udenar.edu.co,co,3820,,12746,eprints, 3.3
http://elib.belstu.by,by,3821,,12762,dspace, 6.0
http://digitalcommons.lesley.edu,us,3822,,12785,digital commons,
http://pubs.library.northwestern.edu,us,3823,,12786,na,na
http://repositorio.ucv.edu.pe,,3824,,12809,dspace, 5.6
http://digitalcommons.stmarys-ca.edu,us,3825,,12810,digital commons,
http://repository.ar-raniry.ac.id,id,3826,,12811,eprints, 3.3
http://kb.hsri.or.th,th,3827,,12815,dspace, 6.2
http://eprints.ru.ac.za,ZA,427,277,,fedora,
http://repository.ubaya.ac.id,id,428,,4458,eprints,
http://doktori.bibl.u-szeged.hu,hu,429,,6371,eprints, 3.3
http://stud.epsilon.slu.se,se,430,,2317,eprints, 3.3
http://oa.upm.es,ES,431,1033,,eprints, 3.3
http://mpra.ub.uni-muenchen.de,DE,432,1201,,eprints, 3.3
http://paduaresearch.cab.unipd.it,IT,433,1162,,eprints,
