http://gtcni.openrepository.com,GB,3,549,,HTTP Error 403: Forbidden
http://eprints.aktors.org,GB,4,1,31,HTTP Error 403: Forbidden
http://rose.bris.ac.uk,GB,11,,176,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://sherpa.bl.uk,GB,13,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://eprints.bucks.ac.uk,GB,15,1382,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://library.coastweb.info,GB,20,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://calcium.dcs.kcl.ac.uk,GB,26,1709,,<urlopen error timed out>
http://dspace.trinity-cm.ac.uk,GB,30,1604,,<urlopen error timed out>
http://eprints.erpanet.org,gb,40,,497,<urlopen error timed out>
http://eprints.libr.port.ac.uk,GB,43,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://eprints.csc.warwick.ac.uk,gb,44,,1442,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://dspace1.isd.glam.ac.uk,GB,46,1021,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
https://dspace.gla.ac.uk,gb,47,,581,<urlopen error timed out>
http://a-plus.auhw.ac.jp,jp,1065,,2868,<urlopen error timed out>
http://architexturez.net,IN,1067,2911,,HTTP Error 403: Forbidden
http://dlibrary.univ-boumerdes.dz,dz,1072,,7079,<urlopen error timed out>
http://dspace-unito.cilea.it,IT,1085,970,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://poar.twu.edu,us,1889,,7841,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://oai.prodinra.inra.fr,fr,1900,,6888,HTTP Error 404: Not Found
http://esh.diva-portal.org,SE,1911,2203,,timed out
http://hhs.diva-portal.org,SE,1912,2204,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://kmh.diva-portal.org,SE,1918,2205,,timed out
http://epub.boku.ac.at,at,1927,,11862,HTTP Error 403: Forbidden
http://publiscologne.fh-koeln.de,DE,1928,3241,,HTTP Error 403: Forbidden
http://rspace.krei.re.kr,kr,1932,,5327,<urlopen error timed out>
http://repositorio.orval.edu.pe,PE,2546,3849,,HTTP Error 503: Service Unavailable
https://dspace.aab-edu.net,rs,2550,,12298,HTTP Error 403: Forbidden
https://laur.lau.edu.lb,lb,2566,,12288,<urlopen error [Errno 61] Connection refused>
http://repository.mut.ac.ke,KE,2570,3859,,<urlopen error [Errno 61] Connection refused>
http://ea.donntu.edu.ua,ua,2592,,3701,<urlopen error [Errno 61] Connection refused>
https://laur.lau.edu.lb,LB,2600,3867,,<urlopen error [Errno 61] Connection refused>
,NL,2610,,,unknown url type: ''
,DE,2612,,,unknown url type: ''
,CH,2614,,,unknown url type: ''
https://dspace.emu.ee,,2632,3875,,<urlopen error _ssl.c:1029: The handshake operation timed out>
http://repository.kmou.ac.kr,,2639,3265,,timed out
http://repository.tml.nul.ls,ls,3671,,9878,<urlopen error [Errno 51] Network is unreachable>
http://dspace.funai.edu.ng,ng,3676,,9947,<urlopen error timed out>
http://eprints.neeri.res.in,in,3678,,9983,<urlopen error timed out>
http://er.ucu.edu.ua,ua,3680,,10013,HTTP Error 403: Forbidden
http://opac.say.ac.id,id,3693,,10210,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://open.jorum.ac.uk,gb,56,,2360,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://learnx.iriss.org.uk,GB,61,1240,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://mlpa.nottingham.ac.uk,gb,73,,935,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://pubs.or08.ecs.soton.ac.uk,GB,85,1219,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://eprints.pharmacy.ac.uk,GB,90,759,,<urlopen error timed out>
http://www.refer.nhs.uk,gb,94,,1104,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://www.sportdocs.insep.fr,fr,1008,,4887,"HTTP Error 302: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Déplacé Temporairement"
http://idl-bnc.idrc.ca,CA,1015,1112,,<urlopen error timed out>
http://dspace.kntu.kr.ua,ua,1031,,10898,HTTP Error 503: Service Unavailable
